Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Navicula,erifuga,Navicula erifuga,Species,,,,,,Yes,No,,
,,,,,Navicula,germainii,Navicula germainii,Species,,,,,,Yes,No,,
,,,,,Navicula,gregaria,Navicula gregaria,Species,,,,,,Yes,No,,
,,,,,Navicula ,heimansioides,Navicula heimansioides,Species,,,,,,Yes,No,,
,,,,,Navicula,libonensis,Navicula libonensis,Species,,,,,,Yes,No,,
,,,,,Navicula,longicephala,Navicula longicephala,Species,,,,,,Yes,No,,
,,,,,Navicula,minima,Navicula minima,Species,,,,,,Yes,No,,
,,,,,Navicula ,notha  ,Navicula notha  ,Species,,,,,,Yes,No,,
,,,,,Navicula,radiosa,Navicula radiosa,Species,,,,,,Yes,No,,
,,,,,Navicula ,ranomafenensis,Navicula ranomafenensis,Species,,,,,,Yes,No,,
,,,,,Navicula,recens,Navicula recens,Species,,,,,,Yes,No,,
,,,,,Navicula,reichardtiana,Navicula reichardtiana,Species,,,,,,Yes,No,,
,,,,,Navicula,rhynchocephala,Navicula rhynchocephala,Species,,,,,,Yes,No,,
,,,,,Navicula,riediana,Navicula riediana,Species,,,,,,Yes,No,,
,,,,,Navicula,rostellata,Navicula rostellata,Species,,,,,,Yes,No,,
,,,,,Navicula,schroeteri,Navicula schroeteri,Species,,,,,,Yes,No,,
,,,,,Navicula  ,symmetrica,Navicula symmetrica,Species,,,,,,Yes,No,,
,,,,,Navicula,tripunctata,Navicula tripunctata,Species,,,,,,Yes,No,,
,,,,,Navicula,trivialis,Navicula trivialis,Species,,,,,,Yes,No,,
,,,,,Navicula,veneta,Navicula veneta,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Navicula                                              ,zanoni,Navicula zanoni,Species,,,,,,Yes,No,,
