Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,congoro,Labeo congoro,"Labeo congoro Peters, 1852",Purple labeo / Purple Mudsucker,Native,Widespread,Least concern,1,Labeo rubropunctatus;Labeo ulangensis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,cylindricus,Labeo cylindricus,"Labeo cylindricus Peters, 1852",Redeye labeo / African Carp,Native,Widespread,Least concern,1,Labeo darlingi;Labeo kilossae;Labeo kilossana;Labeo loveridgei;Labeo montanus;Labeo parvulus;Tylognathus cantini;Tylognathus montanus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,molybdinus,Labeo molybdinus,"Labeo molybdinus du Plessis, 1963",Leaden labeo,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rosae,Labeo rosae,"Labeo rosae Steindachner, 1894",Rednose labeo,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rubromaculatus,Labeo rubromaculatus,"Labeo rubromaculatus Gilchrist & Thompson, 1913",Tugela labeo,Native,Micro-endemic level 1,Vulnerable,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,ruddi,Labeo ruddi,"Labeo ruddi Boulenger, 1907",Silver labeo,Native,Widespread,Data deficient,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,seeberi,Labeo seeberi,"Labeo seeberi Gilchrist & Thompson, 1911",Clanwilliam sandfish,Native,Regional endemic level 2,Endangered,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,umbratus,Labeo umbratus,"Labeo umbratus (Smith, 1841)",Moggel,Native,Widespread,Least concern,1,Abrostomus umbratus;Labeo cafer;Labeo sicheli;Labeo stenningi
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,aeneus,Labeobarbus aeneus,"Labeobarbus aeneus (Burchell, 1822)",Vaal-Orange smallmouth yellowfish,Native,Regional endemic level 2,Least concern,1,Barbus aeneus;Barbus gilchristi;Barbus holubi;Barbus mentalis;Cyprinus aeneus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,dimidiatus,Labeobarbus dimidiatus,"Labeobarbus dimidiatus Tweddle & Skelton, 1998",Blacktop chiselmouth,Non-native,Widespread,Not evaluated,1,Varicorhinus dimidiatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,kimberleyensis,Labeobarbus kimberleyensis,"Labeobarbus kimberleyensis Gilchrist & Thompson, 1913",Vaal-Orange largemouth yellowfish,Native,Regional endemic level 2,Near threatened,1,Barbus kimberleyensis;Barbus pienaarti 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,marequensis,Labeobarbus marequensis,"Labeobarbus marequensis Smith, 1841",Lowveld largescale yellowfish,Native,Widespread,Least concern,1,Barbus brucii;Barbus brucii gunningi;Barbus cookii;Barbus dwaarsensis;Barbus fairbairnii;Barbus gunningi;Barbus inermis;Barbus marequensis;Barbus nasutus;Barbus rhodesianus;Barbus sabiensis;Barbus sector;Barbus swierstrae;Barbus victoriae;Barbus zambezensis;Labeobarbus zambezensis;Varicorhinus brucii;Varicorhinus nasutus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,natalensis,Labeobarbus natalensis,"Labeobarbus natalensis Castelnau, 1861",Scaly Kwa-Zulu Natal yellowfish,Native,Regional endemic level 1,Least concern,1,Barbus aureus;Barbus bowkeri;Barbus dendrotrachelus;Barbus grouti;Barbus lobochilus;Barbus marleyi;Barbus mfongosi;Barbus natalensis;Barbus robinsoni;Barbus stigmaticus;Barbus tugelensis;Barbus zuluensis;Labeobarbus aureus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,nelspruitensis,Labeobarbus nelspruitensis,"Labeobarbus nelspruitensis (Gilchrist & Thompson, 1911)",Incomati chiselmouth,Native,Regional endemic level 1,Near threatened,1,Varicorhinus nelspruitensis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,polylepis,Labeobarbus polylepis,"Labeobarbus polylepis Boulenger, 1907",Bushveld smallscale yellowfish,Native,Regional endemic level 1,Least concern,1,Barbus elephantis;Barbus lineolatus;Barbus polylepis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,seeberi,Labeobarbus seeberi,"Labeobarbus seeberi  (Gilchrist & Thompson, 1913)",Clanwilliam yellowfish,Native,Regional endemic level 1,Near threatened,1,Barbus seeberi;Labeobarbus capensis
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Lacustricola,katangae,Lacustricola katangae,"Lacustricola katangae (Boulenger, 1912)",Striped topminnow,Native,Widespread,Least concern,2,Aplocheilichthys carlislei;Aplocheilichthys katangae;Aplocheilichthys luluae;Aplocheilus luluae;Haplochilichthys katangae;Haplochilus carlislei;Haplochilus katangae;Haplochilus luluae;Micropanchax katangae;Micropanchax luluae
